command,delay_ms,expect,comment
CONFIG,100,,Show firmware configuration before AB_TIMED square draw diagnostic
SELFTEST,100,SELFTEST PASS,Validate CoreXY conversion before diagnostic setup moves
TMC_INIT,100,TMC_INIT,Initialize TMC2209 UART manager
TMC_STATUS,100,TMC_STATUS,Show TMC2209 status before drawing
PENUP,500,PEN UP,Start with pen up
ZERO,100,ZERO,Forget any stale logical position before clearing alarm
ALARM_CLEAR,100,ALARM_CLEAR complete,Clear any previous alarm before homing
LIMIT_STATUS,100,LIMIT_STATUS,Record limit state before homing
HOME,100,HOME complete,Home before AB_TIMED drawing
POS,100,HOMED=YES,Confirm machine is homed
XY 6.500 6.500 600,7000,"ACK_XY target=(6.500,6.500)",Move to large clockwise square start using normal XY
PENDOWN,700,PEN DOWN,Large clockwise square; checks long-edge closure through direct AB_TIMED
AB_TIMED 3360 -3360 8400000,9500,ACK_AB_TIMED,Large CW left edge dx=0 dy=42
AB_TIMED 3360 3360 8400000,9500,ACK_AB_TIMED,Large CW top edge dx=42 dy=0
AB_TIMED -3360 3360 8400000,9500,ACK_AB_TIMED,Large CW right edge dx=0 dy=-42
AB_TIMED -3360 -3360 8400000,9500,ACK_AB_TIMED,Large CW bottom edge close dx=-42 dy=0
PENUP,500,PEN UP,Lift after large clockwise square
XY 22.500 22.500 600,3500,"ACK_XY target=(22.500,22.500)",Move to small clockwise square start using normal XY
PENDOWN,700,PEN DOWN,Small clockwise square; checks short timed move behavior
AB_TIMED 800 -800 2000000,3200,ACK_AB_TIMED,Small CW left edge dx=0 dy=10
AB_TIMED 800 800 2000000,3200,ACK_AB_TIMED,Small CW top edge dx=10 dy=0
AB_TIMED -800 800 2000000,3200,ACK_AB_TIMED,Small CW right edge dx=0 dy=-10
AB_TIMED -800 -800 2000000,3200,ACK_AB_TIMED,Small CW bottom edge close dx=-10 dy=0
PENUP,500,PEN UP,Lift after small clockwise square
XY 14.500 14.500 600,5500,"ACK_XY target=(14.500,14.500)",Move to medium square start using normal XY
PENDOWN,700,PEN DOWN,Medium clockwise square pass 1; baseline for repeat drift
AB_TIMED 2080 -2080 5200000,6500,ACK_AB_TIMED,Medium CW pass1 left edge dx=0 dy=26
AB_TIMED 2080 2080 5200000,6500,ACK_AB_TIMED,Medium CW pass1 top edge dx=26 dy=0
AB_TIMED -2080 2080 5200000,6500,ACK_AB_TIMED,Medium CW pass1 right edge dx=0 dy=-26
AB_TIMED -2080 -2080 5200000,6500,ACK_AB_TIMED,Medium CW pass1 bottom edge close dx=-26 dy=0
PENUP,500,PEN UP,Lift after medium clockwise pass 1
PENDOWN,700,PEN DOWN,Medium clockwise square pass 2 from same start; checks cumulative drift
AB_TIMED 2080 -2080 5200000,6500,ACK_AB_TIMED,Medium CW pass2 left edge dx=0 dy=26
AB_TIMED 2080 2080 5200000,6500,ACK_AB_TIMED,Medium CW pass2 top edge dx=26 dy=0
AB_TIMED -2080 2080 5200000,6500,ACK_AB_TIMED,Medium CW pass2 right edge dx=0 dy=-26
AB_TIMED -2080 -2080 5200000,6500,ACK_AB_TIMED,Medium CW pass2 bottom edge close dx=-26 dy=0
PENUP,500,PEN UP,Lift after medium clockwise pass 2
PENDOWN,700,PEN DOWN,Medium counterclockwise square from same start; checks direction-dependent distortion
AB_TIMED 2080 2080 5200000,6500,ACK_AB_TIMED,Medium CCW bottom edge dx=26 dy=0
AB_TIMED 2080 -2080 5200000,6500,ACK_AB_TIMED,Medium CCW right edge dx=0 dy=26
AB_TIMED -2080 -2080 5200000,6500,ACK_AB_TIMED,Medium CCW top edge dx=-26 dy=0
AB_TIMED -2080 2080 5200000,6500,ACK_AB_TIMED,Medium CCW left edge close dx=0 dy=-26
PENUP,500,PEN UP,Lift after medium counterclockwise square
XY 18.500 18.500 600,4500,"ACK_XY target=(18.500,18.500)",Move to 18mm clockwise square start using normal XY
PENDOWN,700,PEN DOWN,18mm clockwise square; checks intermediate short-edge behavior
AB_TIMED 1440 -1440 3600000,4800,ACK_AB_TIMED,Side18 CW left edge dx=0 dy=18
AB_TIMED 1440 1440 3600000,4800,ACK_AB_TIMED,Side18 CW top edge dx=18 dy=0
AB_TIMED -1440 1440 3600000,4800,ACK_AB_TIMED,Side18 CW right edge dx=0 dy=-18
AB_TIMED -1440 -1440 3600000,4800,ACK_AB_TIMED,Side18 CW bottom edge close dx=-18 dy=0
PENUP,500,PEN UP,Lift after 18mm clockwise square
XY 10.500 10.500 600,6000,"ACK_XY target=(10.500,10.500)",Move to 34mm counterclockwise square start using normal XY
PENDOWN,700,PEN DOWN,34mm counterclockwise square; compares direction at larger size
AB_TIMED 2720 2720 6800000,8000,ACK_AB_TIMED,Side34 CCW bottom edge dx=34 dy=0
AB_TIMED 2720 -2720 6800000,8000,ACK_AB_TIMED,Side34 CCW right edge dx=0 dy=34
AB_TIMED -2720 -2720 6800000,8000,ACK_AB_TIMED,Side34 CCW top edge dx=-34 dy=0
AB_TIMED -2720 2720 6800000,8000,ACK_AB_TIMED,Side34 CCW left edge close dx=0 dy=-34
PENUP,700,PEN UP,Finish AB_TIMED drawing with pen up
MELODY,3000,MELODY complete,End melody and restore normal TMC profile
POS,1000,POS,Confirm final state after AB_TIMED square draw diagnostic
