command,delay_ms,expect,comment
JOB_STATUS,300,JOB_STATUS state=IDLE,Confirm no active job before begin
ZERO,300,ZERO,Forget stale logical position before clearing alarm
ALARM_CLEAR,300,ALARM_CLEAR complete,Clear previous alarm before setup
TMC_INIT,800,,Initialize TMC before homing; JOB_BEGIN also auto-inits if needed
G28,500,HOME complete,Home before JOB_BEGIN
JOB_BEGIN,1000,JOB_BEGIN OK,Begin formal G-code job and auto-initialize TMC if needed
JOB_STATUS,300,JOB_STATUS state=RUNNING,Confirm running state
G21,300,units=MM,G-code modal command is allowed
G90,300,distance=ABSOLUTE,G-code absolute mode is allowed
G1 X10 Y10 F600,2000,"ACK_XY target=(10.000,10.000)",G-code motion is allowed
M3,500,PEN DOWN,G-code pen down is allowed
G4 P80,300,DWELL P=80ms,G-code dwell is allowed
M5,500,PEN UP,G-code pen up is allowed
JOB_END,700,JOB_END OK,End job and force pen up
JOB_STATUS,300,JOB_STATUS state=IDLE,Confirm job returned to idle
