command,delay_ms,expect,comment
CONFIG,1500,accel=37.500,Confirm acceleration configuration is present
SELFTEST,500,SELFTEST PASS,Validate CoreXY conversion before motion checks
TMC_INIT,1000,TMC_INIT,Initialize TMC2209 UART manager
TMC_STATUS,700,TMC_STATUS,Show TMC2209 status
ALARM_CLEAR,500,ALARM_CLEAR complete,Clear any previous alarm before homing
LIMIT_STATUS,500,LIMIT_STATUS,Record limit state before homing; HOME can start with target limit ON
HOME,500,HOME complete,Home before XY moves when homing is required
XY 10 10 600,2500,"ACK_XY target=(10.000,10.000)",Move away from home limits before melody
XY 10.5 10 600,1500,TRAPEZOID profile=TRIANGULAR,Very short move should use triangular profile
XY 50 10 600,6500,TRAPEZOID profile=TRAPEZOID,Longer move should include cruise phase
MELODY,3000,MELODY complete,End melody and restore normal TMC profile
POS,1000,POS,Confirm final state after motion is idle
