command,delay_ms,expect,comment
CONFIG,1000,LOOKAHEAD,Confirm Phase 10 look-ahead configuration
SELFTEST,500,SELFTEST PASS,Validate CoreXY conversion before motion
TMC_INIT,1000,TMC_INIT,Initialize TMC2209 UART manager
ZERO,500,ZERO,Forget any stale logical position before clearing alarm
ALARM_CLEAR,500,ALARM_CLEAR complete,Clear any previous alarm before homing
LIMIT_STATUS,500,LIMIT_STATUS,Record limit state before homing
HOME,500,HOME complete,Home before XY moves when homing is required
XY 10 10 1200,0,,Move to a safe start point
PENDOWN,300,PEN DOWN,Lower pen before queued square
XY 30 10 2400,0,,Queued square side 1
XY 30 30 2400,0,,Queued square side 2
XY 10 30 2400,0,,Queued square side 3
XY 10 10 2400,0,,Queued square side 4
PENUP,300,PEN UP,Raise pen after queued square
POS,1500,POS,Confirm final position and inspect LOOKAHEAD logs above
